phrase,prompt
How do you know if have a you torn your meniscus knee in?,Knee pain
Dizzy my head gets I when try to get up.,Feeling dizzy
Head my gets dizzy when I to get try. up,Feeling dizzy
Head gets my when dizzy I try to get. up,Feeling dizzy
My head gets dizzy when try I to get. up,Feeling dizzy
Pain I feel when loved parting ones,Emotional pain
I feel pain when ones loved parting,Emotional pain
Feel I pain parting when ones loved,Emotional pain
I pain feel when ones parting loved,Emotional pain
there is a red stain in skin my,Skin issue
is there a red in stain skin my,Skin issue
is a there stain red in my skin,Skin issue
there is a red in stain my skin,Skin issue
"i can ' t walk my, hurts me knee",Knee pain
"can ' I walk t, my knee hurts me",Knee pain
"can I ' t walk, knee my me hurts",Knee pain
"can I ' walk t, knee my hurts me",Knee pain
My feels weak body and I tried to make relax it but it me stills pain,Body feels weak
My body feels weak and to I tried make it but relax stills pain it me,Body feels weak
Body my feels weak I and tried make to it relax but stills it me pain,Body feels weak
My body feels weak and tried to I make it relax it stills but me pain,Body feels weak
Increased I heart feel rate with prick,Heart hurts
I feel increased rate heart with prick,Heart hurts
I feel increased heart prick with rate,Heart hurts
Feel I increased heart rate with prick,Heart hurts
My grandson cut foot his a on seashell the in ocean now and the turning foot is gray and puffy is.,Infected wound
Cut my grandson foot his a on in seashell ocean the and now the foot is gray turning and is puffy.,Infected wound
Grandson my cut his on foot a seashell in ocean the and now the foot turning is gray and puffy is.,Infected wound
Grandson my cut his foot a on seashell in ocean the and now foot is turning the and gray is puffy.,Infected wound
Worst the headache was during a in hangover my twenties: I sincerely I thought to was going die from brain inflammation.,Head ache
The worst headache during a was in my hangover twenties: I thought I sincerely going was to die from brain inflammation.,Head ache
Worst the headache was during hangover in a my twenties: sincerely I I thought was to going die from inflammation brain.,Head ache
The headache worst was during a in hangover my: twenties I thought I sincerely was to going die brain from inflammation.,Head ache
have I a problem my in ear made middle by infection,Ear ache
i problem have in a my middle made ear by infection,Ear ache
have I a problem in my middle ear made infection by,Ear ache
i have problem a in middle made my ear by infection,Ear ache
Television my computer and seem out of focus even have though I glasses new.,Blurry vision
And my television computer seem out of focus even I though have new glasses.,Blurry vision
Television my and computer seem out of though even focus have I new glasses.,Blurry vision
My and seem television computer out of focus though even I have glasses new.,Blurry vision
Have I a in break the skin between thumb my and finger index it and will close not.,Open wound
I have a break in the skin my thumb between index and and finger it close will not.,Open wound
Have a I break in the between skin my thumb and index finger and it will not. close,Open wound
I have break a skin in the between thumb my and finger index and it not will close.,Open wound
When I my hair brush notice I big of clumps hair coming the out in brush.,Hair falling out
When I my brush hair notice I big clumps of coming hair in out the brush.,Hair falling out
When I my brush hair I notice clumps big of hair out coming the in brush.,Hair falling out
When I brush hair I my notice big of clumps hair coming in out the brush.,Hair falling out
I feel pain the in when walking knee,Knee pain
I feel in pain the knee when walking,Knee pain
Feel I in the pain knee when walking,Knee pain
Feel I pain the in when knee walking,Knee pain
I ' m good not I feeling can t ' take my breath,Hard to breath
' I m not good feeling I can ' t take my breath,Hard to breath
' I m feeling not I good ' can t take my breath,Hard to breath
' I not m feeling good I ' can t take breath my,Hard to breath
Pain I feel and inside I can not identify it,Internal pain
I feel pain inside I can and not it identify,Internal pain
Feel pain I inside and I can not it identify,Internal pain
Pain I feel inside I and can not identify it,Internal pain
Have I indigestion an,Stomach ache
Have an I indigestion,Stomach ache
Have I indigestion an,Stomach ache
Have an I indigestion,Stomach ache
I cold m feeling the though temperature is high,Feeling cold
I m feeling though cold the temperature is high,Feeling cold
Feeling I m cold the though temperature is high,Feeling cold
I m cold feeling though the temperature is high,Feeling cold
Body my feels although weak I vitamins take my regularly.,Body feels weak
My body feels weak although I take my vitamins regularly.,Body feels weak
My body feels although I weak my take vitamins. regularly,Body feels weak
My weak body feels although take I my regularly vitamins.,Body feels weak
Pain I feel in my body,Internal pain
i feel pain in my body,Internal pain
i pain feel in body my,Internal pain
feel I pain in body my,Internal pain
"The pain is especially intense when go I down stairs the it, feels like has something my snapped inside knee.",Knee pain
"The is pain intense especially I go when down the stairs it, like something has feels snapped inside my knee.",Knee pain
"The is pain intense when especially I go down the stairs, it something feels like snapped my has inside knee.",Knee pain
"Pain the is especially intense when I down the go stairs, it feels like has something snapped inside my knee.",Knee pain
I get an ear ache when is it cold,Ear ache
I get an ear ache when it cold is,Ear ache
I get an ear ache when is it cold,Ear ache
I ache get an ear when it is cold,Ear ache
Joints my swollen feel,Joint pain
Joints my swollen feel,Joint pain
Joints my swollen feel,Joint pain
Joints my swollen feel,Joint pain
When I I stand feel dizzy I do not why know,Feeling dizzy
When I stand feel dizzy I not I do know why,Feeling dizzy
When I stand I dizzy feel I do not why know,Feeling dizzy
I when stand feel I I do dizzy not know why,Feeling dizzy
My back lower hurts but it improves if I it stretch,Muscle pain
Lower back my hurts it but improves if stretch I it,Muscle pain
Lower my back hurts it but if improves stretch I it,Muscle pain
Lower my back but hurts improves it if I it stretch,Muscle pain
I got acne I when ate chili,Acne
Got I when acne I chili ate,Acne
I acne got when I ate chili,Acne
I got I acne when chili ate,Acne
I could not exercise of because my knee pain,Knee pain
Could I not exercise because of knee pain my,Knee pain
I could not exercise because of my pain knee,Knee pain
I could not exercise of because my knee pain,Knee pain
Terrible fall a in hair,Hair falling out
Terrible fall a in hair,Hair falling out
Terrible a in fall hair,Hair falling out
Terrible fall a in hair,Hair falling out
ear hurts my me badly,Ear ache
my me ear hurts badly,Ear ache
ear my me hurts badly,Ear ache
Ear my me hurts badly,Ear ache
My son a had root canal and dentist the cut accidentally the inside his of and cheek it now will heal not.,Infected wound
My son had root a canal and the accidentally dentist cut the his inside of and cheek now will not it heal.,Infected wound
Son my a had root canal and the dentist cut accidentally the inside of his cheek and it now not will heal.,Infected wound
Son my a had root canal and the dentist cut accidentally inside the of and his cheek it now will not heal.,Infected wound
aches so heart much,Heart hurts
Aches heart much so,Heart hurts
so heart aches much,Heart hurts
aches so heart much,Heart hurts
Is my throught so sore.,Neck pain
Throught my so is sore.,Neck pain
Throught my is sore so.,Neck pain
My throught so is. sore,Neck pain
Pain the my in ear is. unbearable,Ear ache
Pain the in ear my is. unbearable,Ear ache
Pain in the ear my is unbearable.,Ear ache
Pain the in ear is my unbearable.,Ear ache
My had her daughter eyebrows and it threaded an pulled opening of skin in one of her brows is that puffy now oozing and.,Infected wound
My daughter had her threaded eyebrows and pulled it an opening skin of in one of her brows that now is puffy. and oozing,Infected wound
My daughter her had threaded eyebrows and it pulled an of opening skin in one of her that brows is puffy now oozing and.,Infected wound
Had daughter my eyebrows her threaded and it pulled an opening of skin in of one her that brows now puffy is and oozing.,Infected wound
Chronic bone disease at level of the doubles of the the lower Estremidades,Knee pain
Bone chronic at the disease level of the doubles the of lower Estremidades,Knee pain
Chronic bone at disease level the of the of doubles lower the Estremidades,Knee pain
Bone chronic disease at the level of the doubles the lower Estremidades of,Knee pain
My hurt knees bad so to walk that I stay sitting more than I. should,Knee pain
My knees hurt so to walk bad that I stay sitting than more I should.,Knee pain
My so knees hurt bad to that walk I stay sitting more than I should.,Knee pain
Knees hurt my so bad that to walk I stay sitting than more I should.,Knee pain
Got I a year last divorce and I can ' just t stop dwelling on to get how revenge on my ex husband.,Emotional pain
I got a divorce last year and I just can ' t stop dwelling on how to on get revenge my husband. ex,Emotional pain
I got a divorce last year I and just can ' t stop on dwelling to how get revenge on my husband ex.,Emotional pain
